Printout for SDDS file out/kick/kicker.chs

       s        ElementName  ElementType      betax          betay          alphax         alphay          etax          etaxp           etay          etayp           psix           psiy           psi            enx            eny         pCentral0   
       m                                        m              m                                            m                             m                            rad            rad          radians           m              m           m$be$nc    
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  8.000000e+00          LM1     CSRDRIFT   1.405883e+01   3.108647e+01   6.842347e-01  -1.498796e+00   8.164479e-16   8.941992e-17   0.000000e+00   0.000000e+00   3.887695e-01   3.966286e-01   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  8.100000e+00          QLD         QUAD   1.399051e+01   3.123659e+01   1.550954e-07   9.411037e-10   8.273671e-16   1.290522e-16   0.000000e+00   0.000000e+00   3.959056e-01   3.998352e-01   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  8.200000e+00          QLD         QUAD   1.405883e+01   3.108647e+01  -6.842344e-01   1.498796e+00   8.422791e-16   1.693072e-16   0.000000e+00   0.000000e+00   4.030417e-01   4.030417e-01   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  8.700000e+00          LM0     CSRDRIFT   1.476917e+01   2.961378e+01  -7.364499e-01   1.446581e+00   9.269327e-16   1.693072e-16   0.000000e+00   0.000000e+00   4.377477e-01   4.195217e-01   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  9.200000e+00          LM0     CSRDRIFT   1.553173e+01   2.819331e+01  -7.886654e-01   1.394365e+00   1.011586e-15   1.693072e-16   0.000000e+00   0.000000e+00   4.707665e-01   4.368267e-01   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  9.700000e+00          LM0     CSRDRIFT   1.634650e+01   2.682505e+01  -8.408808e-01   1.342150e+00   1.096240e-15   1.693072e-16   0.000000e+00   0.000000e+00   5.021513e-01   4.550091e-01   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  1.020000e+01          LM0     CSRDRIFT   1.721349e+01   2.550901e+01  -8.930963e-01   1.289934e+00   1.180893e-15   1.693072e-16   0.000000e+00   0.000000e+00   5.319630e-01   4.741243e-01   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  1.070000e+01          LM0     CSRDRIFT   1.813269e+01   2.424518e+01  -9.453118e-01   1.237719e+00   1.265547e-15   1.693072e-16   0.000000e+00   0.000000e+00   5.602680e-01   4.942309e-01   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  1.120000e+01          LM0     CSRDRIFT   1.910411e+01   2.303357e+01  -9.975273e-01   1.185503e+00   1.350201e-15   1.693072e-16   0.000000e+00   0.000000e+00   5.871355e-01   5.153906e-01   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  1.170000e+01          LM0     CSRDRIFT   2.012775e+01   2.187418e+01  -1.049743e+00   1.133288e+00   1.434854e-15   1.693072e-16   0.000000e+00   0.000000e+00   6.126365e-01   5.376677e-01   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  1.220000e+01          LM0     CSRDRIFT   2.120360e+01   2.076700e+01  -1.101958e+00   1.081072e+00   1.519508e-15   1.693072e-16   0.000000e+00   0.000000e+00   6.368417e-01   5.611293e-01   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  1.270000e+01          LM0     CSRDRIFT   2.233166e+01   1.971203e+01  -1.154174e+00   1.028857e+00   1.604161e-15   1.693072e-16   0.000000e+00   0.000000e+00   6.598214e-01   5.858444e-01   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  1.320000e+01          LM0     CSRDRIFT   2.351195e+01   1.870928e+01  -1.206389e+00   9.766415e-01   1.688815e-15   1.693072e-16   0.000000e+00   0.000000e+00   6.816436e-01   6.118834e-01   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  1.370000e+01          LM0     CSRDRIFT   2.474444e+01   1.775875e+01  -1.258605e+00   9.244260e-01   1.773469e-15   1.693072e-16   0.000000e+00   0.000000e+00   7.023745e-01   6.393174e-01   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  1.420000e+01          LM0     CSRDRIFT   2.602915e+01   1.686043e+01  -1.310820e+00   8.722105e-01   1.858122e-15   1.693072e-16   0.000000e+00   0.000000e+00   7.220774e-01   6.682169e-01   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  1.470000e+01          LM0     CSRDRIFT   2.736608e+01   1.601433e+01  -1.363036e+00   8.199950e-01   1.942776e-15   1.693072e-16   0.000000e+00   0.000000e+00   7.408126e-01   6.986502e-01   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  1.520000e+01          LM0     CSRDRIFT   2.875523e+01   1.522044e+01  -1.415251e+00   7.677795e-01   2.027429e-15   1.693072e-16   0.000000e+00   0.000000e+00   7.586375e-01   7.306816e-01   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  1.570000e+01          LM0     CSRDRIFT   3.019658e+01   1.447877e+01  -1.467467e+00   7.155640e-01   2.112083e-15   1.693072e-16   0.000000e+00   0.000000e+00   7.756064e-01   7.643694e-01   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  1.580000e+01          LM1     CSRDRIFT   3.049112e+01   1.433670e+01  -1.477910e+00   7.051209e-01   2.129014e-15   1.693072e-16   0.000000e+00   0.000000e+00   7.789020e-01   7.713102e-01   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  1.590000e+01          LM1     CSRDRIFT   3.078775e+01   1.419672e+01  -1.488353e+00   6.946778e-01   2.145944e-15   1.693072e-16   0.000000e+00   0.000000e+00   7.821659e-01   7.783197e-01   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  1.600000e+01          LM1     CSRDRIFT   3.108646e+01   1.405883e+01  -1.498796e+00   6.842348e-01   2.162875e-15   1.693072e-16   0.000000e+00   0.000000e+00   7.853983e-01   7.853981e-01   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  1.610000e+01          QLF         QUAD   3.123658e+01   1.399052e+01   3.831690e-08   7.539892e-08   2.174578e-15   6.464746e-17   0.000000e+00   0.000000e+00   7.886048e-01   7.925342e-01   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  1.620000e+01          QLF         QUAD   3.108646e+01   1.405883e+01   1.498796e+00  -6.842346e-01   2.175794e-15  -4.032399e-17   0.000000e+00   0.000000e+00   7.918113e-01   7.996703e-01   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  1.670000e+01          LM0     CSRDRIFT   2.961377e+01   1.476917e+01   1.446580e+00  -7.364501e-01   2.155632e-15  -4.032399e-17   0.000000e+00   0.000000e+00   8.082913e-01   8.343763e-01   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
  1.720000e+01          LM0     CSRDRIFT   2.819330e+01   1.553173e+01   1.394365e+00  -7.886655e-01   2.135470e-15  -4.032399e-17   0.000000e+00   0.000000e+00   8.255963e-01   8.673951e-01   0.000000e+00   2.584439e-07   2.259907e-07   1.631685e+04 
